001,003,1300,1301,1308,1309,130a,130d,130f,130k,130l,130n,130p,130s,130t,130v,130x,130y,source,term_type
10022416,ItRAAR,http://id.loc.gov/authorities/names/n86716581,,,,"Acta Salmanticensia.",,,,,,"Estudios filológicos",,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10022466,ItRAAR,http://id.loc.gov/authorities/names/n42000836,,,,"Toronto Old English series",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10022538,ItRAAR,http://id.loc.gov/authorities/names/n97040153,,,,"Biblioteca ""missionalia hispanica""",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10022603,ItRAAR,http://id.loc.gov/authorities/names/n93008209,,,,"Pubblicazioni del Centro di ricerche di metafisica.",,,,,,"Sezione ""Fontes""",,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10022681,ItRAAR,http://id.loc.gov/authorities/names/n86744440,,,,"Bibliotheca Montisfani",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10022757,ItRAAR,http://id.loc.gov/authorities/names/n42010020,,,,"Düsseldorfer Arbeiten zur Geschichte der Medizin",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10022849,ItRAAR,http://id.loc.gov/authorities/names/n90676373,,,,"Archives internationales d'histoire des idées.",,,,,,"Series minor",,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10023183,ItRAAR,http://id.loc.gov/authorities/names/n42004681,,,,"Biblioteca del ""Calendario""",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10023188,ItRAAR,http://id.loc.gov/authorities/names/n93077807,,,,"Collectanea Augustiniana",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10023249,ItRAAR,http://id.loc.gov/authorities/names/n42035644,,,,"Innsbrucker Beiträge zur Kulturwissenschaft.",,,,,,"Germanistische Reihe",,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10023284,ItRAAR,http://id.loc.gov/authorities/names/n90681916,,,,"Austrian Institute for International Affairs series",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10023303,ItRAAR,http://id.loc.gov/authorities/names/n42026702,,,,"Wiener Geschichtsbücher",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10023567,ItRAAR,http://id.loc.gov/authorities/names/no2003089939,,,,"Biblioteca de patrística",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10023741,ItRAAR,,,,,"Biblioteka iskusstvoznaniâ",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10024021,ItRAAR,http://id.loc.gov/authorities/names/n84728606,,,,"Storia d'Italia.",,,,,,"Regioni dall'Unità a oggi",,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10024031,ItRAAR,http://id.loc.gov/authorities/names/n92100428,,,,"Miscellanea di storia italiana.",,,,,"Serie V,","Studi e fonti per la storia della Università di Torino",,,,,,BAV,UNIF_TITLE
10024140,ItRAAR,http://id.loc.gov/authorities/names/n83700729,,,,"Anejos de Revista de literatura",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10024427,ItRAAR,http://id.loc.gov/authorities/names/nr99034285,,,,"Publicaciones ""Arbor""",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10024562,ItRAAR,http://id.loc.gov/authorities/names/no96044341,,,,"Saggi e ricerche (Centro di studi filosofici di Gallarate)",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10024594,ItRAAR,http://id.loc.gov/authorities/names/n42004834,,,,"Biblioteca salentina di cultura",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10024817,ItRAAR,,,,,"Châtelain de Coucy",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10025028,ItRAAR,http://id.loc.gov/authorities/names/no95058229,,,,"Analecta Gregoriana.",,,,,"Sectio B","Series Facultatis Philosophiae.",,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10025060,DLC,http://id.loc.gov/authorities/names/nr95029489,,,,"Bibliothèque de théologie.",,,,,"Série IV,","Histoire de la théologie",,,,,,UPB;UPB,UNIF_TITLE
10025233,ItRAAR,,,,,"I testi (Editori Riuniti)",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10025504,ItRAAR,,,,,Corbaccio,,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10025531,ItRAAR,http://id.loc.gov/authorities/names/n42032066,,,,Sycomore.,,,,,,"Série ""Chrétiens aujourd'hui""",,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10025539,ItRAAR,http://id.loc.gov/authorities/names/n42007812,,,,"Collana di diritto del lavoro",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10025612,DLC,http://id.loc.gov/authorities/names/n42023435,,,,"Storia (Jouvence (Firm))",,,,,,,,,,,,DLC;eng;DLC;IEN,UNIF_TITLE
10025670,ItRAAR,http://id.loc.gov/authorities/names/n42026703,,,,"Wiener rechtsgeschichtliche Arbeiten",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10025772,ItRAAR,http://id.loc.gov/authorities/names/n84724340,,,,"Erlanger Monographien aus Mission und Ökumene",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10025794,ItRAAR,http://id.loc.gov/authorities/names/no2004102541,,,,"Publikation der Max-Reinhardt-Forschungsstätte",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10026175,ItRAAR,http://id.loc.gov/authorities/names/n83743353,,,,"Biblioteca del minotauro",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10026361,ItRAAR,,,,,"Cuadernos de historia del arte (Universidad Nacional Autónoma de México. Instituto de Investigaciones Est&AGeticas)",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10026564,ItRAAR,http://id.loc.gov/authorities/names/n84722909,,,,"Wiener Archiv für Geschichte des Slawentums und Osteuropas",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
